material_id,formula,pred_log10_sigma,pred_spread,in_training
mp-696138,Li10Ge(PS6)2,-2.087713571087803,0.2102785576900744,True
mp-721236,Li10Sn(PS6)2,-2.33707963963018,0.21985212223213305,True
mp-696129,Li10Si(PS6)2,-2.6218169341180757,0.37158018427280415,True
mp-720509,Li10Si(PS6)2,-2.6218169341180757,0.37158018427280415,True
mp-641703,Li7P3S11,-3.0795544444172003,2.0932898587342783,True
mp-9406,Li2La2Ti3O10,-3.2422733680167393,0.6923784508927933,False
mp-676447,Na2LiLa3Ti6O18,-3.3218172014871095,0.678863336308284,False
mp-683616,Li5Ti7In(PO4)12,-3.5754103804695414,0.2715041412643947,False
mp-695021,Li3Ti3Fe(PO4)6,-3.7246488752143194,0.5606513553598294,False
mp-1147696,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147687,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147681,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147694,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147692,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147695,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147684,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147685,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147693,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147698,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147697,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1147686,Li10Zn(PS4)4,-3.763211183094042,1.5348882643888089,False
mp-1040450,Li5P(S2Cl)2,-4.042654469819566,1.8201483082291634,False
mp-2341,Li3N,-4.046992144183689,1.9344206036021394,True
mp-676109,Li3InCl6,-4.09111220796434,2.165331278274057,True
mp-1147728,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147726,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147725,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147721,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147732,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147735,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147727,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147734,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147737,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147741,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147724,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147723,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147733,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
mp-1147738,Li4Zn(PS4)2,-4.283108046150787,1.415843105618956,False
